Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,,DS_PM_pred,DS_PM_stdd,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2018,CA,California,Alameda,06001,06001406202,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10,,,9.4,10.7,4718,POINT (-122.2265705 37.78197495),6001406202,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.235,11.7718,4597,2444,2153,60.3,10.6,12,4.2,8.1,0,1791,34351,6921,15275,1865,39.3,48.9,18.6,28.2,16.3,21.8,15.1,45.2,19.9,22.2,7,2.5,3.2,30.7,2171,85,6,8.1,0.9,6.3
2018,CA,California,Alameda,06001,06001406300,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.7,,,9.3,10.1,4113,POINT (-122.2250272 37.78930266),6001406300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.042,11.6103,4128,2034,2094,35.9,11.3,15,0.4,35.4,0,2405,45015,6799,18254,2775,26,35.8,31.5,26.1,15.8,12.4,14.2,65.4,13.4,13.8,1.7,3.6,2.1,30,1845,75.4,16.2,8.4,0,11.3
2018,CA,California,Alameda,06001,06001406400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9,,,8.8,9.3,2145,POINT (-122.2218828 37.79557204),6001406400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.973,11.5171,2355,1171,1184,17.9,29.6,25.4,0,19,0,1637,67102,12257,29681,4759,18.1,12.8,39.1,26.2,11.4,10.2,13.1,59.4,16.9,13.5,0.4,7.9,2,34,875,80.7,16.2,3.1,0,6.5
2018,CA,California,Alameda,06001,06001406500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.2,,,9.8,10.7,5930,POINT (-122.2170036 37.78807209),6001406500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.734,11.4862,6231,3168,3063,55,6.3,18.5,0,14.9,0.4,3500,40989,5497,17957,1963,22.3,27.6,23,28.9,16.7,17.1,14.3,52.5,17.2,16.3,8.7,3.2,2.1,27.7,3026,79.3,9.4,11,0.3,10.6
2018,CA,California,Alameda,06001,06001406601,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,,,9.7,10.5,4596,POINT (-122.2079319 37.79360544),6001406601,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.829,11.3567,5181,2829,2352,30.2,11,25.7,0.1,22.1,0,3153,48407,4762,22080,3056,17.7,21.5,29.9,28.6,19.3,7.6,14.6,64.2,10.1,19.8,0.4,1.5,4,36.2,2226,81.3,9.3,9.1,0.4,12.5
2018,CA,California,Alameda,06001,06001406602,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.6,,,9.2,10,2493,POINT (-122.2142905 37.79646666),6001406602,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.761,11.2852,2815,1550,1265,27.5,10.4,16.5,1,41.1,0.2,1723,47182,13469,24338,3829,20.9,28.1,23.5,38.2,22.2,5.8,10.4,57.6,15.2,21.7,2,1.6,2,34.2,1487,83.9,10.4,3.4,2.3,7.5
2018,CA,California,Alameda,06001,06001406700,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.1,,,8.6,9.7,5048,POINT (-122.2022021 37.80331106),6001406700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.665,11.5784,4984,2506,2478,10.9,48.2,12.9,0.5,23.2,0,3824,93133,15126,46685,5144,7.3,1.7,57.8,13.1,18.3,4,6.8,58.8,11.2,18.5,1.5,3.4,6.6,30.4,2389,68.4,20.4,11.3,0,6.9
2018,CA,California,Alameda,06001,06001406800,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.7,,,8.4,9.1,3428,POINT (-122.1948894 37.79793878),6001406800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.622,11.3336,3613,1562,2051,15.7,33.5,8.9,0.4,32.7,0,2726,91050,16891,47332,7036,8.9,4.3,53.5,10.6,22.8,5.3,7.8,58.3,9.5,18.3,0,2.5,11.5,36.9,2082,75.9,14.8,8.3,1.1,5.8
2018,CA,California,Alameda,06001,06001406900,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.1,,,8.8,9.5,3719,POINT (-122.1903674 37.79327702),6001406900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.896,11.8717,3941,1825,2116,17.2,34.8,13.9,0.6,22.4,0.7,2803,75721,15296,41690,5059,9.6,9.2,46.3,14.1,22.1,6.7,10.9,56,11,19.8,1.4,3.5,8.4,37.5,2138,74.1,19.6,6.3,0,4.7
2018,CA,California,Alameda,06001,06001407000,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.2,,,9.8,10.8,5885,POINT (-122.2024735 37.78795665),6001407000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.674,12.2414,6020,2818,3202,32.6,11.2,15.6,0.1,35.7,0,3730,52087,6142,23028,5254,20.8,28,25.7,30.8,17.8,8.6,17.1,67.1,14.7,13.4,0,2.9,1.9,31.1,2764,80.1,12.2,7.7,0,9
2018,CA,California,Alameda,06001,06001407101,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,,,9.5,10.7,3414,POINT (-122.2143978 37.78312008),6001407101,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.861,11.7118,3444,2007,1437,48,10.8,13.3,0.4,24.1,0,2202,52068,9998,20133,2666,32.9,65.1,22.2,32.5,19.3,14.3,11.7,51.7,17.6,20.9,5.4,3,1.5,34.5,1935,74.6,12.6,12.9,0,3.7
2018,CA,California,Alameda,06001,06001407102,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.9,,,9.3,10.3,4351,POINT (-122.2102476 37.78078984),6001407102,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.15,11.8279,4106,2076,2030,46,14.6,15.9,0,16,3.1,2294,52383,7595,26680,5405,21,36.4,24.9,28.5,23.2,10.8,12.6,65.3,7.2,17.3,1,4.2,5,30.1,2016,78.9,16.6,4.6,0,7.8
2018,CA,California,Alameda,06001,06001407200,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.8,,,8.9,10.4,6746,POINT (-122.2193145 37.77778281),6001407200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.483,10.8367,7064,3394,3670,68.3,6.9,8,0.5,14.6,0,2717,38660,2804,16841,3612,33,43.3,15.7,39.4,14.5,17.4,13,46.8,15.2,25.9,4.2,2.7,5.1,29.8,3157,87.8,6.7,5.5,0,12.5
2018,CA,California,Alameda,06001,06001407300,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.3,,,9.7,10.8,2598,POINT (-122.2119107 37.76332178),6001407300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.42,12.4443,2485,1339,1146,56.3,15.5,8.4,0,15.6,0.7,1449,54150,13798,21147,2752,21.4,23.9,26.8,29,16.5,13.1,14.5,42.4,13.9,14.5,8.3,12.2,8.7,30.1,1267,80,11.3,8.7,0,13
