Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,CA,California,Santa Clara,06085,06085506703,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.8,,,8.4,9.2,3625,POINT (-121.9669253 37.26470919),06085506703,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506801,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,8.2,8.9,5871,POINT (-121.9564662 37.24221257),06085506801,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506802,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,8.2,9.2,5237,POINT (-121.9361497 37.2469238),06085506802,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506803,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,,,8.1,9.0,6883,POINT (-121.9143243 37.24281483),06085506803,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506804,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.3,,,7.9,8.7,3629,POINT (-121.9339855 37.23974105),06085506804,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506900,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.9,8.4,7436,POINT (-121.9321849 37.22763733),06085506900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085507001,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.2,,,7.9,8.6,6504,POINT (-121.9933913 37.22107663),06085507001,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085507002,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.3,,,8.0,8.7,2800,POINT (-121.9493282 37.20989596),06085507002,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085507100,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.7,,,8.3,9.1,2683,POINT (-121.9751156 37.23619503),06085507100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085507203,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.7,8.5,2632,POINT (-121.9644482 37.25141031),06085507203,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
